Date,TimeFromStart,TaskNumber,PostID,QuestionType,ClickTarget
1760516293263,25.84465,3,post4,Is_Fake,not_fake
1760516294048,26.6307,3,post4,Level_Of_Confident,4
1760516294361,26.94264,3,post4,Level_Of_Confident,go_to_have_seen
1760516295215,27.7978,3,post4,Have_seen,yes
1760516299307,31.86806,4,post1,Start,readnews
1760516302238,34.82038,4,post1,Start,question
1760516302627,35.20943,4,post1,Is_Fake,fake
1760516303396,35.9782,4,post1,Level_Of_Confident,4
1760516303673,36.25433,4,post1,Level_Of_Confident,go_to_have_seen
1760516304149,36.73133,4,post1,Have_seen,yes
1760516306369,38.93024,5,post7,Start,readnews
1760516307174,39.75654,5,post7,Start,question
1760516308870,41.45214,5,post7,Is_Fake,fake
1760516309640,42.22092,5,post7,Level_Of_Confident,4
1760516309942,42.52367,5,post7,Level_Of_Confident,go_to_have_seen
1760516312913,45.49435,5,post7,Have_seen,yes
1760516314670,47.23145,6,post14,Start,readnews
1760516315386,47.96743,6,post14,Start,question
1760516317503,50.08558,6,post14,Is_Fake,not_fake
1760516320067,52.64875,6,post14,Level_Of_Confident,4
1760516320384,52.96569,6,post14,Level_Of_Confident,go_to_have_seen
1760516320781,53.36301,6,post14,Have_seen,no
1760516324073,56.63489,7,post15,Start,readnews
1760516324836,57.4182,7,post15,Start,question
1760516326003,58.58446,7,post15,Is_Fake,not_fake
1760516326670,59.25299,7,post15,Level_Of_Confident,4
1760516327029,59.60996,7,post15,Level_Of_Confident,go_to_have_seen
1760516327617,60.19895,7,post15,Have_seen,yes
1760516329280,61.8401,8,post11,Start,readnews
1760516329877,62.45908,8,post11,Start,question
1760516330446,63.02802,8,post11,Is_Fake,fake
1760516331117,63.69871,8,post11,Level_Of_Confident,4
1760516331410,63.99208,8,post11,Level_Of_Confident,go_to_have_seen
1760516331883,64.46474,8,post11,Have_seen,yes
1760516333559,66.12004,9,post13,Start,readnews
1760516334304,66.88551,9,post13,Start,question
1760516334879,67.46078,9,post13,Is_Fake,not_fake
1760516335615,68.19745,9,post13,Level_Of_Confident,3
1760516335940,68.52274,9,post13,Level_Of_Confident,go_to_have_seen
1760516336498,69.08041,9,post13,Have_seen,no
1760516338480,71.04058,10,post12,Start,readnews
1760516342814,75.39658,10,post12,Start,question
1760516343557,76.13853,10,post12,Is_Fake,not_fake
1760516344200,76.78061,10,post12,Level_Of_Confident,3
1760516344616,77.19786,10,post12,Level_Of_Confident,go_to_have_seen
1760516345338,77.91963,10,post12,Have_seen,yes
1760516346829,79.38969,11,post2,Start,readnews
1760516347534,80.11568,11,post2,Start,question
1760516348040,80.62163,11,post2,Is_Fake,not_fake
1760516348678,81.25956,11,post2,Level_Of_Confident,3
1760516348994,81.57613,11,post2,Level_Of_Confident,go_to_have_seen
1760516349415,81.99728,11,post2,Have_seen,yes
1760516351618,84.17714,12,post9,Start,readnews
1760516352369,84.95193,12,post9,Start,question
1760516352975,85.55681,12,post9,Is_Fake,not_fake
1760516353578,86.16002,12,post9,Level_Of_Confident,3
1760516353915,86.49748,12,post9,Level_Of_Confident,go_to_have_seen
1760516354682,87.26332,12,post9,Have_seen,no
1760516356021,88.58191,13,post10,Start,readnews
1760516356740,89.3219,13,post10,Start,question
1760516357266,89.84833,13,post10,Is_Fake,not_fake
1760516357886,90.46827,13,post10,Level_Of_Confident,3
1760516358743,91.32433,13,post10,Level_Of_Confident,go_to_have_seen
1760516359284,91.86565,13,post10,Have_seen,no
1760516361126,93.6823,14,post5,Start,readnews
1760516361809,94.39128,14,post5,Start,question
1760516362461,95.04312,14,post5,Is_Fake,fake
1760516363084,95.6655,14,post5,Level_Of_Confident,3
1760516363448,96.03019,14,post5,Level_Of_Confident,go_to_have_seen
1760516364045,96.62672,14,post5,Have_seen,no
1760516365864,98.42281,15,post3,Start,readnews
1760516366639,99.22109,15,post3,Start,question
1760516367204,99.78555,15,post3,Is_Fake,fake
1760516368331,100.9131,15,post3,Level_Of_Confident,3
1760516368656,101.2355,15,post3,Level_Of_Confident,go_to_have_seen
1760516369245,101.8269,15,post3,Have_seen,no
